Génération,Fitness Moyenne,Fitness Maximale,Nombre d'espèces
0,429.2429180000001,3065.3568999999998,5
1,583.4073483221475,3375.1277999999998,5
2,1079.8819253333331,4291.491100000001,5
3,1191.6143225165567,3819.4299999999994,5
4,1437.9347879194636,3756.4885999999997,5
5,1519.5044187919461,3642.3934999999997,5
6,1629.0546933333333,3519.4745999999996,5
7,1585.5280393333337,3762.1164,5
8,1532.357194,3785.4844000000003,5
9,1638.8251053333336,3616.8997,5
10,1696.0464906666662,4088.8738000000003,5
11,1510.7829726666669,3940.6934,5
12,1608.3659479999994,4136.1407,5
13,1780.2220060000002,3834.0402,5
14,1685.551205333333,3722.0279,5
15,1677.2895026666658,3744.3275,5
16,1671.7889133333329,3740.0692000000004,5
17,1684.34882,3453.1562999999996,5
18,1825.7364793333327,3841.6207000000004,5
19,1710.286215333333,3859.0898000000007,5
20,1684.7399733333325,3790.3072000000006,5
21,1833.771260666667,3985.1782000000003,5
22,1821.977127333333,4043.3213000000005,5
23,1818.2536973333324,3910.3705,5
24,1806.777208666666,4004.877699999999,5
25,1736.211745333333,4393.0769,5
26,1841.1557686666672,3867.0627,5
27,1851.2229166666677,4326.7233,5
28,1804.4226913333328,3713.2156000000004,5
29,1881.2390113333329,3593.6211,4
30,1677.4442319999996,4259.5154999999995,4
31,1841.0584840000001,3864.7959,4
32,1787.3078046666672,3263.5878,4
33,1636.7194053333328,3727.1048,4
34,1810.7838646666667,3489.5154999999995,4
35,1725.1145026666663,4173.559899999999,4
36,1791.873704,3777.4132000000004,4
37,1697.6163299999998,4424.411099999999,4
38,1736.0057379999994,4471.5322,4
39,1618.3308286666668,3916.3374,4
40,1668.0045986666662,4078.3968999999997,4
41,1698.1621273333328,3399.3301000000006,4
42,1812.100598666667,3779.7171,4
43,1713.8534106666666,3935.1337,4
44,1825.2906593333332,3455.5173000000004,4
45,1707.2454633333336,3980.1343999999995,4
46,1727.9876366666667,4021.321,4
47,1829.5814879999984,4166.2943000000005,4
48,1839.073512666667,3689.3229,4
49,1845.1307646666664,4066.8940000000002,4
50,1767.8990386666665,3990.8806999999997,4
51,1799.0651399999992,3397.1807,4
52,1877.758392,3938.8125,4
53,1710.186913333334,4186.9506,4
54,1838.9750826666668,3620.6583,4
55,1831.7456506666665,4853.8085,4
56,1841.5392619999996,3704.2525,4
57,1841.4059306666663,4129.248099999999,4
58,1764.8616386666656,3847.0672000000004,4
59,1891.2324820000003,3995.2167999999992,4
60,1679.1987460000007,3941.4393,4
61,1975.4922933333332,3669.6187999999993,4
62,1856.774868666666,3611.2303,4
63,1931.3912386666673,3965.6297,4
64,1921.8683033333327,3746.5134000000003,4
65,1912.9949446666656,4373.195100000001,4
66,1845.6663233333334,3885.9685,4
67,1880.5416993333329,3658.3441,4
68,1839.022977333334,3692.6845,4
69,1758.2160846666661,3710.7535999999996,4
70,1995.287999333333,4321.878900000001,4
71,1847.2935066666655,4572.722400000001,4
72,1728.934712666667,3585.746,4
73,1789.1386666666663,3935.4521,4
74,1792.1152546666674,3872.8862,4
75,1944.0038106666664,4221.6488,4
76,1799.7843160000002,4281.7539,4
77,1891.2070753333342,3903.7383,4
78,1817.975836000001,3636.8886999999995,4
79,1763.0847339999993,3941.2831000000006,4
80,1926.2136899999998,3438.5207,4
81,1797.6886186666666,3936.8441000000003,4
82,1963.653060666667,3537.5393999999997,4
83,1863.6942186666672,4044.9433,4
84,1769.6567286666673,4327.9344,4
85,1788.2549573333336,4253.8292,4
86,1977.447287333333,3874.9573,4
87,1933.086874,4219.359399999999,4
88,1837.766595333333,3729.675,4
89,1853.6191380000005,4589.8223,4
90,2055.8271073333335,4241.5931,4
91,1953.428034666667,4356.412699999999,4
92,1941.5966213333338,4169.2952000000005,4
93,1921.8453913333337,3873.4450999999995,4
94,1959.0445613333343,3908.0164999999997,4
95,1859.8474766666664,4010.5983000000006,4
96,1989.2771093333342,4009.4644000000003,4
97,1955.5062899999991,4250.4105,4
98,1784.500264000001,4279.7615000000005,4
99,1944.9605053333341,4511.687,4
