Génération,Fitness Moyenne,Fitness Maximale,Nombre d'espèces
0,1723.7456933333333,4350.334000000001,6
1,2221.7783624161075,5036.415999999999,6
2,2586.2389866666645,5915.1939999999995,6
3,2758.920476821191,5608.2880000000005,6
4,2891.098000000001,6058.142000000001,6
5,3003.3574999999996,5719.446,6
6,3025.1747297297306,6278.0380000000005,6
7,3175.635466666666,6636.85,6
8,3093.670794701987,5767.792000000001,6
9,3198.885827814569,5523.096,6
10,3262.0313642384117,5854.182000000001,6
11,3346.911324503312,5764.122,6
12,3223.916331125828,6418.900000000001,6
13,3276.5924768211926,6030.573999999999,6
14,3263.90923178808,6581.155999999998,6
15,3298.7547682119193,5670.323999999999,6
16,3275.9944503311262,5423.802000000001,6
17,3425.7202781456945,6264.844000000001,6
18,3360.4704635761595,6515.264,6
19,3349.7687549668885,5900.242,6
20,3404.805245033113,6030.4580000000005,6
21,3356.26369536424,5882.572,6
22,3473.497973509933,6034.862,6
23,3472.628900662253,6118.190000000001,6
24,3371.5006754966894,6576.983999999999,6
25,3492.297999999998,6068.919999999998,6
26,3477.976429530202,5993.722,5
27,3378.0828053691275,7088.722,5
28,3384.242993288593,5783.972,5
29,3410.8303221476476,6081.793999999999,5
30,3408.325288590602,6535.841999999999,5
31,3475.6740268456356,5828.006,5
32,3390.8259060402675,6996.309999999999,5
33,3310.735489932887,5719.028000000001,5
34,3332.717946308723,6169.572,5
35,3632.5488322147658,6285.052000000001,5
36,3377.626134228188,5697.938,5
37,3405.9539060402685,6151.906000000001,5
38,3615.19213422819,6394.666,5
39,3446.694832214765,6217.7339999999995,5
40,3386.6091140939598,6741.566000000001,5
41,3526.7721466666676,7025.498,4
42,3615.729426666666,5781.494,4
43,3546.665959999999,5705.572,4
44,3581.240013333334,6353.01,4
45,3492.776746666667,6857.773999999999,4
46,3571.606506666666,5716.654,4
47,3532.6126399999976,6162.882,4
48,3602.2385333333336,6408.138000000001,4
49,3536.2365466666647,6820.446,4
50,3467.523693333334,6791.531999999999,4
51,3608.333426666667,6500.95,4
52,3536.633186666669,5925.668,4
53,3604.484066666666,5518.121999999999,4
54,3749.3777466666675,6219.686,4
55,3527.3828400000007,5829.810000000001,4
56,3549.519013333334,6715.964,4
57,3435.030599999997,6109.333999999999,4
58,3565.1550533333334,6273.650000000001,4
59,3433.862426666666,5720.106,4
60,3446.7245333333317,6765.588,4
61,3503.0446933333337,6209.535999999999,4
62,3303.531093333331,5979.608,4
63,3558.5199599999996,5943.392,4
64,3383.554853333331,6363.874,4
65,3741.2759733333323,6628.996,4
66,3717.931480000002,5838.92,4
67,3499.927693333334,6379.201999999999,4
68,3432.4331466666663,5900.466,4
69,3566.3448000000008,6118.082,4
70,3487.1245999999996,6035.776,4
71,3638.502853333332,6284.586000000001,4
72,3685.397039999999,5983.0740000000005,4
73,3589.3599866666677,5598.604000000001,4
74,3608.182746666666,6152.393999999998,4
75,3733.6332000000007,6151.988,4
76,3562.185333333333,5984.010000000001,4
77,3663.1809599999992,5547.246,4
78,3813.319506666666,5919.652,4
79,3617.071280000002,6395.253999999998,4
80,3699.6606533333347,5770.424,4
81,3611.308106666666,6152.218000000001,4
82,3608.8408133333355,6028.693999999999,4
83,3519.6336,7172.3279999999995,4
84,3599.3638933333327,6511.476000000001,4
85,3482.637866666665,6534.255999999999,4
86,3550.1710666666677,5835.347999999999,4
87,3560.837853333334,5798.278,4
88,3729.200280000001,6443.454,4
89,3610.5647333333322,6252.369999999999,4
90,3697.9359866666664,6624.1939999999995,4
91,3665.987373333333,6110.928,4
92,3601.3429066666667,5962.986000000001,4
93,3574.0328533333345,5762.83,4
94,3723.632186666668,6066.994,4
95,3678.3988933333353,6545.226000000002,4
96,3615.5356533333343,7131.814,4
97,3641.8595066666667,6095.156,4
98,3597.381119999998,5878.065999999999,4
99,3459.6776933333335,5735.768,4
100,3638.7139466666677,5887.068000000001,4
101,3528.591013333335,6715.0599999999995,4
102,3668.671146666667,6460.146000000001,4
103,3595.975093333333,6744.974,4
104,3573.2637333333337,6161.194,4
105,3493.007693333333,6575.308000000001,4
106,3724.2877599999997,6105.199999999999,4
107,3676.953679999999,6315.268,4
108,3608.7641200000003,5900.078000000001,4
109,3724.135640000001,6485.995999999999,4
110,3544.4286666666662,5802.464,4
111,3483.308253333333,5583.36,4
112,3609.3959733333336,6065.85,4
113,3494.9965600000005,6926.384000000002,4
114,3561.3169333333335,6399.502,4
115,3766.290546666667,6151.44,4
116,3344.62012,5542.83,4
117,3520.0841733333314,5833.714,4
118,3551.831,6857.696,4
119,3582.2072133333336,6186.523999999999,4
120,3645.695480000001,5998.402,4
121,3622.1309066666677,6049.022,4
122,3692.396226666666,5951.040000000001,4
123,3640.7756133333323,6307.139999999999,4
124,3590.898559999999,5896.604000000001,4
125,3564.4877199999996,6114.915999999999,4
126,3560.1151333333332,6321.302000000001,4
127,3583.0643733333345,5737.674,4
128,3611.095946666667,5884.498,4
129,3685.6054400000007,5706.976000000001,4
130,3501.2099333333326,6055.9580000000005,4
131,3660.067866666667,5859.222,4
